Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude, Contact.No.1, Contact.No.2, Contact.No.3, Contact.No.4, Contact.No.5, Contact.No.6, Contact.No.7
818,Bangalore Institute of Oncology Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 8, P. Kalinga Rao Road, Sampangiram Nagar",560027,080 40206121,9008255888,,,,,Dr. Deepthi,080 40206121,9844953958,drdeepti.hallur@hcgoncology.com,Medical Officer,Private,NO,NO,24x7,kTK/28C-198/ 2007,2/5/2007,1/5/2017,12.964273,77.589629,080 40206121,,,,,,
819,Ocean Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 133-134, K. P. Broadway Road, Shivajinagar",560051,080 25552199,9845854991,,,,,Dr. Syed Azeezuddin,080 25552199,9845854991,oceansuh36@gmail.com,Medical officer,Private,NO,NO,24x7,KTK/28C-200/ 2007,1/6/2007,11/6/2017,12.982018,77.604484,080 25552199,,,,,,
820,Rotary K. R. Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," No. 75, Hanumanthanagar, 50 Feet Road, Bengaluru ",560050,080 28437393,9845574600,,,,,Dr. Dhamodharan,080 28437393,9845574600,bngu.rotarykrhospital.bb@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-205/2007,20-08-2007,18-08-2017,12.941937,77.553588,080 28437393,,,,,,
821,Veerayoga Institute of Medical Sciences Speciality Hospitals Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"VIMS, No. 88, Marathhalli, Outer Ring Road",560037,080 4269800,9845453875,,,,,Dr. ,080 25720670,,vims@gmail.com,Medical Officer,Private,YES,NO,24x7,KTK/28C-209/ 2007,16-11-2007,14-11-2017,12.948331,77.699554,080 4269800,,,,,,
822,Columbia Asia Referral Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"26/4, Brigade Gateway, Beside Metro Cash and Carry West West, Malleshwaram,",560055,080 39898968,9972461925,"080 39898969, 080 61656262",080 30925454,,http://www.india.columbiaasia.com/,Dr. Jayashree D Kulkarni,080 39898968,9449040542,jayashree.kulkarni@columbiaasia.com,Medical Officer,Private,YES,YES,24x7,KTK/28C-225/2009,3/11/2009,1/11/2019,13.014167,77.556035,080 39898968,,,,,,
823,Sagar Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Sy. No.53, Shavige Malleshwara Hills, Kumar Swamy Layout, Banashankari",560078,080 42999177  ,9591991888,,,,,Mr. H.S.Kumara,080 42999177  ,9591991888,bloodbank.bsk@sagarhospitals.in,DMLT,Private,YES,NO,N/A,KTK/28C/227/ 2010,10/8/2010,9/8/2015,12.907709,77.565114,080 42999177  ,,,,,,
824,Fortis Hospital Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,Bannerghatta Road,560076,080 66214055 ,9341960717,,,,,Dr. Malathi Vannan,080 66214055,9341960717,care.bng@fortishospital.com,Medical Officer,Private,YES,YES,24x7,KTK/28C/229/2010,18-12-2009,17-11-2019,12.89453,77.598902,080 66214055 ,,,,,,
825,Fortis Hospital Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"14, Sheriffs Centre,Cunningham Road",560052,"080 41994515, 080 22261037",9845438200,,,,http://www.fortishealthcare.com/,Dr. Balraj Ramaswamy,8041994515,9845438200,balaraj.r@fortishealthcare.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-232/2011,25-01-2011,24-01-2016,12.988216,77.594232,080 41994515, 080 22261037,,,,,
826,Sagar Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," 44/54, 30th Cross, Tilak Nagar, Jayangar Extension",560041,080 26536712 ,9448004502,,,,,Dr. Vijay Vishnu Prasad,080 26536712 ,"09591991883	",rajaninikanth@sagarhospital.in,Medical officer,Private,YES,YES,,KTK/28C-236/2011,1/4/2009,Pending,12.928003,77.599598,080 26536712 ,,,,,,
827,Manipal Hospital Transfusion Services Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.98, Rustombagh, HAL Airport Road",560017,080 25024357,9845768593,1800 3001 4000,080 2526 6757,bloodbank@manipalhospitals.com,https://www.manipalhospitals.com,Dr. C. Shivaram,080 25024357,9845768593,shivaram@manipalhospitals.com,Medical Officer,Private,YES,NO,24x7,KTK/28C/237/2011,1/9/2010,Pending,12.958758,77.6491,080 25024357,,,,,,
828,Yashomathi Medicare and Research Centre Private Limited Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"2371/3, HAL Airport, Varthur Main Road, Munne Kolala, Marathahalli Post",560037,080 43221019,9845664320,,,,,Dr. Uma Bai,080 43221019,9845664320,care@yashomatihospitals.com,Medical Officer,Private,YES,NO,24x7,KTK/28C-239/ 2011,19-07-2011,18-07-2016,12.955719,77.711256,080 43221019,,,,,,
829,Life Care Voluntary Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," No.126, 7th Block, Jayanagar, Opposite to Jayanagar Police Station",560011,080 22446923,8123533773,,,,,Mr. Ananda Kumar,080 22446923,8123533773,lifecarevoluntarybloodbank@gmail.com,DMLT,Charity,YES,NO,24X7,KTK/28C-136/2001,11/9/2001,9/9/2016,12.92837,77.581654,080 22446923,,,,,,
830,The Oxford Medical College Hospital Blood Bank and Research Centre,Karnataka,BENGALURU URBAN,Bengaluru," Yadavanahalli, Attibele (Hobli), Anekal Taluk",562107,8030847115,9980328064,080-30847101/102,,bloodbanktomch@gmail.com,http://theoxfordmedical.org/,Dr. Seema H. S,8030847115,9980328064,drseemspath28@gmail.com,Pathologist,Private,NO,NO,24X7,KTK/28C/259/2013 ,10/6/2013,9/6/2018,12.787186,77.756942,8030847115,,,,,,
831,Sakra World Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Sakra world Hospital (A Unit of Takshasila Hospitals Operating Private Limited), S.No. 52/2 and 52/3, Devarabeesanahalli, Varthur Hobli, Bellandur Post",560103,080 49694916 ,7259003589,,,,http://www.sakraworldhospital.com,Dr. Shabnam Roohi,080 49694916 ,7259003589,rani.premkumar@sakraworldhospital.com,Medical Officer,Private,YES,YES,24x7,KTK/28C/263/2013 ,24-09-2013,23-09-2018,12.932125,77.685263,080 49694916 ,,,,,,
832,Dr.Rajkumar (Appaji) Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru," No.18, Krishi Bhavan, 2nd Floor, Hudson Circle",560001,080 22108108,9141334726,,,,,Dr. Chandrakala,080 22108108,9141334726,drrajkumarappajibloodbank@gmail.com,Medical Officer,Charity,NO,NO,24x7,KTK/28C-197/ 2007,2/5/2007,1/5/2017,12.967558,77.589363,080 22108108,,,,,,
833,Sri Shankara Cancer Hospital and Research Centre Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Shankara Math premises, 1st cross, shankarapuram, Basavanagudi",560004,080 26981101,9535408623,,,,http://shankaracancerfoundation.org/,Dr. Nandini Inamdar,080 26610151 ,,nandiniinamdar@yahoo.co.in,Pathologist,Private,YES,YES,24x7,KTK/28C-267/ 2013 ,18-12-2013,17-12-2018,12.954575,77.571128,080 26981101,,,,,,
834,Mediscope Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Mediscope Hospital, No.11, Pillanna Garden, 3rd stage",560045,080 25466554  ,9945666554,,,,,,080 25466554  ,9945666554,,,Private,,,24x7,,,,12.999478,77.616872,080 25466554  ,,,,,,
835,Sapthagiri Hospital Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No.15, Chikkasandra, Hesaraghatta Main Road",560090,080 22791638,9986500570,,,,,Dr. Lekha M B,080 22791638,9986500570,sapthagiribloodbank@gmail.com,Medical Officer,Private,YES,NO,24x7,KTK/28C/232/ 2011,25-01-2011,24-01-2016,13.070573,77.50228,080 22791638,,,,,,
836,The District Surgeon District Hospital Blood Bank,Karnataka,BIDAR,Bidar,,585401,08482 220744,9448584999,,,,,Dr. Veerendra Patil,08482 220744,9448584999,dsbidar@gmail.com,Medical Officer,Government,NO,NO,24x7,KTK/28C-38/97,13-03-1997,30-12-2017,17.918098,77.515003,08482 220744,,,,,,
837,District Hospital Blood Bank Bijapur,Karnataka,Bijapur,Bijapur,Athani Road,586102,08352 270108,8867225340,,,,,Dr. Channamma Katti,08352 270108,8867225340,bjrdistricthospitalbb@gmail.com,Pathologist,Government,NO,NO,24x7,KTK/28C-39/97,13-03-1997,30-12-2017,16.828098,75.691713,08352 270108,,,,,,
838,B.L.D.E. Association&#39;s Medical College & Reserch Centre Blood Bank,Karnataka,Bijapur,Bijapur,"Mahal Bagayat,Ashram Road",586103,0835 2262770,9880336328,,08352 263019.,,http://www.bldeuniversity.ac.in/,Dr. Prakash M Patil,0835 2262770,9880336328,bjr.bldemedicalcollege.bb@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-56/97,1/1/1997,Pending,16.845101,75.710641,0835 2262770,,,,,,
839,Lions Blood Bank,Karnataka,Bijapur,Bijapur,"Bandikaman Road, Ward No.6, CTS No.168, Basement Ground and First Floor",586101,08352 22200050  ,9845894005,,,,,Dr. Premanand M Ambali,08352 22200050  ,9845894005,lionsclubbijapur@gmail.com,Medical Officer,Charity,NO,NO,24x7,KTK/28C-72/97,5/5/1997,Pending,16.827207,75.725839,08352 22200050  ,,,,,,
840,Dr. B. N. M. Rural Ayurvedic Medical College and Hospital Blood Bank,Karnataka,Bijapur,Bijapur,"Smt. Sushiladevi Nagur Colony, College Road",586101,0835 2655760,9538912222,,,,http://drbnmetrust.org/,Dr. Pradeep Kumar Vishwanath Hibare,0835 2655760,9538912222,bjr.drbnmayurvedicmch@gmail.com,Pathologist,Government,NO,NO,24x7,KTK/28C-126/2001,13-02-2001,30-12-2017,16.8301759,75.7078424,0835 2655760,,,,,,
841,Al-Ameen Medical College Hospital Blood Bank,Karnataka,Bijapur,Bijapur,"Athani Road, Bihapurkar",586101,08352 270113,9036358995,,08352 270251,,http://www.alameenmedical.org/,Dr. Saeed M Yendigeri,08352 270113,9036358995,patilbsus@yahoo.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-165/2003,17-12-2003,Pending,16.825058,75.669209,08352 270113,,,,,,
842,GMETS Dr. Goudars Blood Bank,Karnataka,Bijapur,Bijapur,"852, A1 and A2 Ward IX, 1st Floor, Dr. Karigoudar&#39;s Complex Godbolemala",586101,08352 253604,9880883604,,,,,Dr. B. H. Kulkarni,08352 253604,9880883604,drkarigoudarlab@gmail.com,Medical Officer,Charity,NO,NO,24x7,KTK/28C-167/2004,24-01-2004,22-01-2019,16.828072,75.709979,08352 253604,,,,,,
843,District Hospital Blood Bank Chamarajanagar,Karnataka,CHAMARAJANAGAR,Chamarajanagar,District Hospital,577101,08226 222067,9449843165,,,,,Dr. Sujatha,08226 222067,9449843165,drhrsujatha@gmail.com,Medical Officer,Government,NO,NO,24x7,KTK/28C-261/2013 ,2/7/2013,1/7/2018,11.926773,76.941473,08226 222067,,,,,,
844,Holy Cross Hospital Blood Bank,Karnataka,CHAMARAJANAGAR,Kollegal,"Kamagere , Kolegala Taluk, Chamaraja Nagar",571443,08226 263116  ,9535813053,,08224 263348,,http://www.holrcrosskamagere.org,Dr. Shivu P,08226 263116 ,9535813053,shivap183@gmail.com,MBBS,Private,NO,NO,24x7,KTK/28C/224/2009,3/12/2009,2/12/2019,12.12938,77.233586,08226 263116  ,,,,,,
845,Indian Red Cross Society Blood Bank Chikkaballapur,Karnataka,Chikkaballapur,Chikkaballapur,"District Family Welfare Office, 2nd Floor, B. B. Road",561207,08156 272118,9844791189,,,,http://redcrosskarnataka.org/,Dr. Vikram R,08156 272118,9844791189,,Medical Officer,Charity,YES,NO,24x7,KTK/28C/246/2011,15-03-2012,14-03-2017,13.438043,77.72929,08156 272118,,,,,,
846,Mallegowda District Hospital Blood Bank,Karnataka,CHIKKAMAGALURU,Chikkamagaluru,Chikkamagaluru,577101,08262 238083,9449651152,,,,,Dr. K. R. Shivadatta,08262 238083,9449651152,,Medical Officer,Government,NO,NO,24x7,KTK/28C-64/97,5/5/1997,30-12-2017,13.218016,75.251826,08262 238083,,,,,,
847,Holy Cross Hospital Blood Bank,Karnataka,CHIKKAMAGALURU,Chikkamagaluru,"Housing Board Colony, K. M. Road, Jyothi Nagar",577101,08262 220077 ,9844964452,,08262 220017,,http://holycrosscip.org/,Dr Khalid Ahmed Khan,08262 220077 ,9844964452,directorholycrossckm@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-114/2000,3/6/2000,30-12-2016,13.338634,75.80355,08262 220077 ,,,,,,
848,Sharada Dhanvantari Charitable Hospital Blood Bank,Karnataka,CHIKKAMAGALURU,Sringeri,"S. D. C. Hospital, P.B. No. 13, Vidyaranyapura Village,",577139,0826 220175,9448820970,,08265 251498 ,,http://www.sharadadhanvanthari.com/,Dr. N. Balakrishna Bhat,0826 220175,9448820970,ckm.sharadadhanvanthri.bb@gmail.com,MBBS,Charity,NO,NO,24x7,KTK/28C-99/99,2/6/1999,30-12-2017,13.428948,75.254286,0826 220175,,,,,,
849,District Hospital Blood Bank Chitradurga,Karnataka,CHITRADURGA,Chitradurga,B. D. Road Chitradurga,577501,08194 234710,8884491257,,,,,Dr. Roopa J. H,08194 234710,8884491257,,Medical Officer,Government,NO,NO,24x7,KTK/28C-96/98,1/1/1999,30-12-2017,14.220818,76.4065,08194 234710,,,,,,
850,SJM Blood Bank Basaveshwara Medical College Hospital and Research Centre,Karnataka,CHITRADURGA,Chitradurga,"NH-4, By Pass, Near KHB Colony",577502,08194 222054 ,9449681767,,,,,Dr. Ashoka Reddy B,08194 222054,9449681767,sjmbloodbank@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-180/2005,1/6/2005,Pending,14.239807,76.388943,08194 222054 ,,,,,,
851,Vasavi Blood Bank,Karnataka,CHITRADURGA,Chitradurga,"Khata No. 4895/4720, Assessment No. 11479/13, 
B. L. Gowda Layout, Thurunur Road",577501,08194 222666,9886973068,,,,,Dr. T. K. Srinivas setty,08194 222666,98869730680,vasavibloodbankcta@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-203/ 2007,24-07-2007,22-07-2017,14.229572,76.409483,08194 222666,,,,,,
852,Jyothi Hospital Blood Bank,Karnataka,DAKSHINA KANNADA,Belthangady,"Jyothi Hospital, Laila-574 214, Belthangady",574214,0825 6233939,9620570546,,,,,Dr. Annamma Joseph,0825 6233939,9620570546,,Medical Officer,Private,NO,NO,24x7,KTK/28C-207/ 2007,5/9/2007,3/9/2017,12.991208,75.288255,0825 6233939,,,,,,
853,M/s. Indian Red Cross Society Blood Bank,Karnataka,DAKSHINA KANNADA,Kundapur,"1st floor, Govt Hospital Building, Muncipal Road",576201,08254 233111,8105017014,,,ircsbloodbankkdpr@gmail.com,http://redcrosskarnataka.org/,Dr. Chandrayya Achary,08254 233111,8105017014,ircsbloodbankkdpr@gmail.com,,Private,YES,NO,24x7,KTK/28C-281/15,7/4/2015,6/4/2020,13.628482,74.690683,08254 233111,,,,,,
854,Fr. Mullers Charitable Instituitions Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Post Box No.501, Kankanady",575002,0824 2238126,9448953716,,,,http://www.fathermuller.com/,Dr. Kirana Bialoor,8242436301,9448953716,,Medical Officer,Charity,NO,NO,24x7,KTK/28C-25/96,23-11-1996,31-12-2017,12.866805,74.85933,0824 2238126,,,,,,
855,City Hospital Research and Diagnostic Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Pound Garden, Kadri",575003,0824 221790 ,9480064323,,0824 2217906,,http://www.cityhospitalmangalore.in/,Dr. Shetty K. Padma,0824 221790 ,9480064323,cityhospitalmangalore@hotmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-105/99,14-09-1999,30-12-2017,12.87963,74.853044,0824 221790 ,,,,,,
856,The District Surgeon - Wenlock District Hospital Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,Hampanakata,575001,0824 2413205,9448624730,,,,,Dr. Zulfikar Ahmed,0824 2413205,9448624730,,Medical Officer,Government,YES,NO,24x7,KTK/28C-112/2000,17-05-2000,30-12-2016,12.867384,74.843132,0824 2413205,,,,,,
857,Yenepoya Medical College Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Nithyananda Nagar, Deralakatte",575018,0824 2204668 ,7899124567,,0824 2204667,,http://www.yenepoya.edu.in,Dr. Mohamed Hafeezulla Shariff,0824 2204668 ,7899124567,,Medical Officer,Private,NO,NO,24x7,KTK/28C-152/2002,16-11-2002,14-11-2017,12.81194,74.881231,0824 2204668 ,,,,,,
858,A. J. Hospital and Research Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Kuntikana, NH- 66",575004,0824 2225535 ,9448127559,,0824 222 5541,,http://www.ajhospital.in,Dr. P. Aravind,0824 2225533,9448127559,,Medical Officer,Private,YES,NO,24x7,KTK/28C/223/2009 ,9/9/2011,8/9/2016,12.899478,74.845975,0824 2225535 ,,,,,,
859,KMC University Medical Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Dr. B. R. Ambedkar Circle, Jyothi",575001,0824 2444590 (Extn. 5059),7829131741,,0824 2421140,,http://www.kmchospitalsmangalore.com/,Dr.Chakraborti,0824 2444590,7829131741,info@kmchospitalsmangalore.com,Medical Officer,Private,YES,NO,,KTK/28C-234/2011,,,12.870434,74.844505,0824 2444590 (Extn. 5059),,,,,,
860,Srinivasa Institute of Medical Sciences and Research Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Mukka,Srinivas Nagar,Surathkal",575021,0824 2474883,9844120545,,0824-2442766,,http://www.srinivasgroup.com/,Dr. Nagaraj S Lakshmeswar,0824 2478586,9844120545,simsrc@srinivasgroup.com,Pathologist,Private,NO,NO,24x7,KTK/28C-240/2011,30-08-2011,29-08-2016,13.021405,74.792037,0824 2474883,,,,,,
861, M/s. Tejasvini Hospital Lions Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,Kadri Temple Road,575002,0824 2225994,7259107052,,,,,Dr. Suchitra A Shetty,0824 2225994,7259107052,,Pathologist,Private,NO,NO,24x7,KTK/28C-241/2011,13-09-2011,12/9/2016,12.880334,74.853689,0824 2225994,,,,,,
862,Indian Red Cross Society Blood Bank Mangalore,Karnataka,DAKSHINA KANNADA,Mangalore,"Lady Goshen Hospital, Behind Central Market",575001,0824 2423755 ,9343356368,,,,http://www.redcrossdakshinakannada.org,Dr. B. Vasudeva,0824 2423755 ,9343356368,,MBBS,Charity,NO,NO,,KTK/28C-118/2000,27-07-2000,Pending,12.864857,74.83818,0824 2423755 ,,,,,,
863,Nitte University Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Justice K. S. Hegde Charitable Hospital, Deralakatte",575018,0824 220447  ,9845760054,,,,http://tok-a-journey.wikispaces.com/Math+as+AOK,Dr. Chandrika Rao,0824 220447  ,9845760054,,Pathologist,Private,YES,NO,24x7,KTK/28C/262/2013 ,25-07-2013,24-07-2018,12.807444,74.888332,0824 220447  ,,,,,,
864,M/s. Kanachur Hospital & Research Centre Blood Bank,Karnataka,DAKSHINA KANNADA,Mangalore,"Ground Floor, C Block, University Road, Deralakatte",575018,08242 202982,7204979706,,0824 2202982,edu@kanachur.com,http://www.kanachurims.com/,Dr. T. Ravikumar ,0824 2202982,7204979706,edu@kanachur.com,Pathologist,Private,YES,NO,24x7,KTK/28C-279/15,17-03-2015,16-03-2020,12.803421,74.898097,08242 202982,,,,,,
865,Rotary Campco Blood Bank,Karnataka,DAKSHINA KANNADA,Puttur,"Radhakrishna Building, Shree Radhadrishna Mandir Road",574201,0824 234242 ,9449215502,,,,,Dr. Ramachandra Bhat,0824 234242 ,9449215502,rotartcampco@gmail.com,Medical Officer,Charity,NO,NO,24x7,KTK/28C-85/98,6/3/1998,Pending,12.760706,75.198947,0824 234242 ,,,,,,
866,General Hospital Blood Bank Puttur,Karnataka,DAKSHINA KANNADA,Puttur,NA,574102,08251 238258,,,,,,,,,,,Government,,,24x7,,,,12.758344,75.200313,08251 238258,,,,,,
867,K. V. G Medical College Hospital Blood Bank,Karnataka,DAKSHINA KANNADA,Sullia,Kurinji Bag,574327,0824 230326 ,9343719508,,08257 233408,,http://www.kvgmedcollege.org/,Dr. Mahantha Devaru,0824 230326 ,9343719508,kvgmede@yahoo.com,Pathologist,Private,YES,NO,24x7,KTK/28C-163/2003,8/8/2003,7/8/2018,12.55332,75.384249,0824 230326 ,,,,,,
868,Chigateri District Hospital Blood Bank,Karnataka,DAVANGERE,Chigateri,"Chigateri District Hospital, Chigateri",577004,08192 272085,9901870706,,08192 233743,chigateridh.bb.dvg@gmail.com,http://www.chigaterihospital.org,Dr. B. K. Prakash,08192 272085,9901870706,chigateridh.bb.dvg@gmail.com,MBBS,Government,YES,NO,24x7,KTK/28C-222/09,27-07-2009,26-07-2019,14.456165,75.916182,08192 272085,,,,,,
869,Bapuji Hospital Blood Bank,Karnataka,DAVANGERE,Davangere,C.G. Hospital Road,577001,08192 253850  ,9480577767,,,,,Dr. K. Jagadeshwari ,08192 253850 ,9480577767,bapujibbbh@gmail.com,Medical Officer,Private,YES,NO,24x7,KTK/28C-174/2004 ,3/12/2004,2/12/2019,14.4588202,75.9167473,08192 253850  ,,,,,,
870,Davangere Blood Bank,Karnataka,DAVANGERE,Davangere,"358, Mahaveera Complex, II Floor, 8th Main, 8th Cross, P.J. Extension",577002,08192 236655 ,9448415081,,,,,Mr. H. B. Kumar,08192 236655,9448415081,shubhodaya2002@yahoo.com,DMLT,Private,YES,NO,24x7,KTK/28C-148/2001 ,26-08-2001,25-08-2017,14.459198,75.915238,08192 236655 ,,,,,,
871,Bapuji Educational Association S. S. Institute of Medical Sciences and Research Hospital Blood Bank,Karnataka,DAVANGERE,Davangere,"Jnanashankara, NH-4 Bypass Road, Post Box-1",577003,08192 266016 ,9844004828,,08192 266310,,http://www.ssimsrc.com/,Dr. Gowda Kavitha Umapathy,08192 266016 ,9844004828,drkavitagu@yahoo.co.in,Medical Officer,Private,YES,NO,24x7,KTK/28C-80/97,22-09-1997,2/12/2019,14.430349,75.942694,08192 266016 ,,,,,,
872,Karnataka Hemophillia Society Life Line Blood Bank,Karnataka,DAVANGERE,Davangere,"No.1138, Ring Road, S. Nijalingappa Layout, Behind KSFC Building",577002,08192 231948,9845232378,,,,,Dr. Devendrappa M.T,08192 231948,9845232378,lifeline.bbo@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-251/2012 ,19-10-2012,18-12-2017,14.457405,75.902533,08192 231948,,,,,,
873,INDIAN RED CROSS SOCIETY,Karnataka,DAVANGERE,Davangere,Devraj Urs Layout,577006,08192 252550,9986886464,,,venkateshd71@gmail.com,,Dr.H.D.Vishwanath,,,venkateshd71@gmail.com,MBBS,Private,NO,2,24X7,KTK/28C/215/2008,31/12/2008,31/12/2018,14.475314,75.909787,08192 252550,,,,,,
874,Rotary Club Dharwad Mid Town Charitable Trust - Rotary Blood Bank,Karnataka,DHARWAD,Dharwad,"Lourde&#39;s Hospital, Kalageri Road",500008,0836 2746123,8050492523,,,,,Dr. V. S. Kannu,0836 2746123,8050492523,,Medical Officer,Charity,NO,NO,24x7,KTK/28C-110/2000,2/3/2000,30-12-2016,15.46373,74.969829,0836 2746123,,,,,,
875,District Hospital Blood Bank Dharwad,Karnataka,DHARWAD,Dharwad,Fort Road,580001,0836 2747747,8792145842,,,,,Dr. Prabhu,0836 2747747,8792145842,,Medical Officer,Government,NO,NO,24x7,KTK/28C-116/2000,26-06-2000,31-12-2016,15.46473,75.010366,0836 2747747,,,,,,
876,SDM College of Medical Sciences and Hospital Blood Bank,Karnataka,DHARWAD,Dharwad,"First Floor B Wing Building, Sattur",580009,0836 2477262,9886174035,,,,http://sdmmedicalcollege.org/,Dr Bhat Sudhir Anant,0836 2477777 ,9886174035,drjeevapriya@gmail.com,Medical Officer,Private,YES,NO,24x7,KTK/28C-170/2004,1/4/2004,30-03-2019,15.417904,75.050162,0836 2477262,,,,,,
877,Karnataka Medical College Hospital Blood Bank,Karnataka,DHARWAD,Hubli,"III Floor, # 306 ",580022,080 2272908,9448465399,,,,,Dr. Sujatha S. Giriyan,080 2272908,9448465399,drwd.kims.bb@gmail.com,Medical Officer,Private,YES,YES,24x7,KTK/28C-66/97,1/1/1996,31-12-2016,15.3669,75.128266,080 2272908,,,,,,
878,M. R. Diagnostic Research Centre and Blood Bank,Karnataka,DHARWAD,Hubli,"Ground Floor, Eureka Towers, Traffic Island",580029,0836 2253450  ,9845138970,,,,,Dr. Satish Dattatray Shetty,0836 2253450 ,9845138970,dwdmrdaignosticresearchcenterandbloodbank@gmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-86/98,24-04-1998,30-12-2016,15.364705,75.123954,0836 2253450  ,,,,,,
879,The Karnataka Cancer Therapy and Research Institute Smt. Valbai N. Dharamsey Blood Bank,Karnataka,DHARWAD,Hubli,Navanagar ,580025,0836 2228217 ,9845303567,,,,,Dr. Umeshwar R. Hallikeri,0836 2228217 ,9448793132,kctribloodbank@gmail.com,Medical Officer,Private,YES,YES,24x7,KTK/28C-90/98,6/6/1998,30-12-2016,15.36472,75.123954,0836 2228217 ,,,,,,
880,Jeevanavar Blood Bank,Karnataka,DHARWAD,Hubli,"CTS No.104,11/15-B, Municipal No.20922/17-A, 
K.H.Jituri Hospital, Complex, II Floor, Gokul Road",580021,0836 2278320 ,9900233525,,,,,Dr. M. J. Jeevannavar,0836 2278320 ,9900233525,,Medical Officer,Private,NO,NO,24x7,KTK/28C-108/2000,1/1/2000,30-12-2016,15.353643,75.130587,0836 2278320 ,,,,,,
881,Hubli Lions Blood Bank,Karnataka,DHARWAD,Hubli,"CTS No. 440, Ward No.1, Groud Floor, Vivekananda General Hospital Compound, Deshpande Nagar, Hubli",580029,0836 2258080 ,9448007249,,,,,Dr. Muralidhar Rao,0836 2258080,9448007249,dwdhublilionbb@gmail.com,Medical Officer,Charity,NO,NO,24X7,KTK/28C-134/2001,14-08-2001  ,2017,15.354562,75.135566,0836 2258080 ,,,,,,
882,Sha Damji Jadavji Chheda Memorial Rashtrotthana Blood Bank,Karnataka,DHARWAD,Hubli,"2nd Floor Dee Jay building, Neeligin Road",581107,0836 2358838,9916274362,,,,,Dr. Seema Shrinath Mugadi,0836 2358838,9916274362,rbloodbankhubli@gmail.com,Medical Officer,Charity,NO,NO,24x7,KTK/28C/226/2010-11,25-05-2010,24-05-2015,15.3534025,75.1348707,0836 2358838,,,,,,
883,Life Line 24x7 Blood Bank,Karnataka,DHARWAD,Hubli,Opposite to New Bus Stand Airport Road,581107,0836 2330000,9980053517,,,,,Dr. Mamata P Halgeri,0836 2330000,9980053517,dwd.lifeline.bb@gmail.com,Medical Officer,Private,YES,YES,24x7,K/28C/230/ 2010,18-09-2010,17-09-2015,15.35144,75.117758,0836 2330000,,,,,,
884,M/s. Suchirayu Healthcare Limited Blood Bank,Karnataka,DHARWAD,Hubli,"Sy.No:28/8-11,M.Timmasagara, Jalavi Garden, Off Gokul Road",580030,0836 2239000,9986125245,,,,,Dr. Poornima S. Jawali,0836 2239000,9986125245,hschbl@gmail.com,Pathologist,Private,YES,NO,24x7,KTK/28C-285/15,23-05-2015,22-05-2020,15.3526453,75.1155103,0836 2239000,,,,,,
